"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,23,15,32,"tot.hosp"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,12,7,19,"death"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,457,367,555,"sympiso"
0.25,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,19,14,8,21,"asympiso"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,541,411.95,696,"tot.cases"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,6,3.95000000000002,9,"peak.hosp"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,0,0,0,"days.above.thresh"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,21,14,29,"tot.hosp"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,11,6,17,"death"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,402,326,489,"sympiso"
0.3,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,20,12,7,19,"asympiso"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,456,345,585.05,"tot.cases"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,5,3,8,"peak.hosp"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,0,0,0,"days.above.thresh"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,19,12,26,"tot.hosp"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,10,6,16,"death"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,355,288,430,"sympiso"
0.35,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,21,11,6,17,"asympiso"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,379,287,491,"tot.cases"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,5,3,7,"peak.hosp"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,0,0,0,"days.above.thresh"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,17,11,24,"tot.hosp"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,10,5,15,"death"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,313,257,376,"sympiso"
0.4,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,22,10,5,16,"asympiso"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,319,241.95,415,"tot.cases"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,5,3,7,"peak.hosp"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,0,0,0,"days.above.thresh"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,16,10,22,"tot.hosp"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,9,5,14,"death"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,277,232,329,"sympiso"
0.45,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,23,9,4,15,"asympiso"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,268,198,348,"tot.cases"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,4,3,7,"peak.hosp"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,0,0,0,"days.above.thresh"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,14,9,20,"tot.hosp"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,8,4,13,"death"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,247,207,292.05,"sympiso"
0.5,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,24,8,4,13,"asympiso"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,223,167,292.05,"tot.cases"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,4,3,6,"peak.hosp"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,0,0,0,"days.above.thresh"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,13,8,19,"tot.hosp"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,8,4,12,"death"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,221,186,259,"sympiso"
0.55,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,25,7,3,12,"asympiso"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,184,137,239,"tot.cases"
