"d","tot.tests","sens","Ds","rho","Da","Ts","Ta","sim","median","lower","upper","objective"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,5,2,8,"death"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,125,109,143,"sympiso"
0.6,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,26,6,2,10,"asympiso"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,476,354,622,"tot.cases"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,4,3,7,"peak.hosp"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,0,0,0,"days.above.thresh"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,15,10,21,"tot.hosp"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,8,4,13,"death"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,272,222,326,"sympiso"
0,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,27,37,25,50,"asympiso"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,428,310,571,"tot.cases"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,4,3,7,"peak.hosp"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,0,0,0,"days.above.thresh"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,14,9,21,"tot.hosp"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,8,4,13,"death"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,251,206,298,"sympiso"
0.05,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,28,34,24,47,"asympiso"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,382,282,510,"tot.cases"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,4,3,6,"peak.hosp"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,0,0,0,"days.above.thresh"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,13,9,20,"tot.hosp"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,8,4,12,"death"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,233,192,278,"sympiso"
0.1,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,29,32,22,44,"asympiso"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,338,248,453,"tot.cases"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,4,2,6,"peak.hosp"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,0,0,0,"days.above.thresh"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,13,8,18,"tot.hosp"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,7,4,12,"death"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,216,179,255,"sympiso"
0.15,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,30,29,20,41,"asympiso"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,302,220,403,"tot.cases"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,4,2,6,"peak.hosp"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,0,0,0,"days.above.thresh"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,12,8,17,"tot.hosp"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,7,3,11,"death"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,202,168,238,"sympiso"
0.2,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,31,27,18,37,"asympiso"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,266,195,358,"tot.cases"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,4,2,6,"peak.hosp"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,0,0,0,"days.above.thresh"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,11,7,16.0500000000002,"tot.hosp"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,7,3,11,"death"
